entity_id,branch,panel,cohort_label,sample_type,coord,qc_status,has_all_primary_inputs,n_parquet_cells,tissue_class,adjusted_area_percent
"TMA|AR|[51582,15070]",TMA,AR,NAC2020,TURBT,"[51582,15070]",Acceptable,True,7955.0,Stroma,15.206746463547331
"TMA|AR|[52176,10034]",TMA,AR,NAC2020,TURBT,"[52176,10034]",Acceptable,True,6526.0,Stroma,59.702958144102126
"TMA|AR|[52406,17049]",TMA,AR,NAC2020,TURBT,"[52406,17049]",Acceptable,True,6594.0,Stroma,23.939103332534163
"TMA|AR|[52605,15384]",TMA,AR,NAC2020,TURBT,"[52605,15384]",Acceptable,True,7181.0,Stroma,55.975462810822656
"TMA|AR|[52605,8525]",TMA,AR,NAC2020,TURBT,"[52605,8525]",Acceptable,True,7520.0,Stroma,22.843886462882093
"TMA|AR|[52644,13679]",TMA,AR,NAC2020,TURBT,"[52644,13679]",Acceptable,True,5998.0,Stroma,53.64345254100565
"TMA|AR|[52684,10230]",TMA,AR,NAC2020,TURBT,"[52684,10230]",Acceptable,True,6073.0,Stroma,16.957976943101528
"TMA|AR|[52724,12014]",TMA,AR,NAC2020,TURBT,"[52724,12014]",Acceptable,True,7418.0,Stroma,23.38830584707646
"TMA|AR|[53604,11898]",TMA,AR,NAC2020,TURBT,"[53604,11898]",Acceptable,True,4171.0,Stroma,48.24401846928781
"TMA|AR|[54032,18715]",TMA,AR,NAC2020,TURBT,"[54032,18715]",Borderline,True,8274.0,Stroma,24.227556027052117
"TMA|AR|[54191,17089]",TMA,AR,NAC2020,TURBT,"[54191,17089]",Acceptable,True,6740.0,Stroma,27.393777992979057
